Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Churn
,0.0,36.0,0,1228.0,,30.0,19.0,1
4.0,0.0,36.0,3,938.0,,25.0,17.0,0
29.0,0.0,31.0,5,16675.0,248.0,21.0,95.0,0
10.0,0.0,34.0,5,7565.0,,292.0,48.0,0
,0.0,36.0,2,4318.0,92.0,23.0,,0
7.0,1.0,35.0,0,2265.0,,,,1
10.0,0.0,36.0,2,3380.0,63.0,,38.0,0
8.0,0.0,27.0,3,,46.0,,26.0,0
8.0,0.0,26.0,2,2168.0,,,,0
15.0,0.0,27.0,0,,35.0,31.0,22.0,0
4.0,0.0,26.0,0,1425.0,20.0,42.0,18.0,0
14.0,0.0,,2,1825.0,42.0,40.0,28.0,0
6.0,0.0,25.0,2,3825.0,71.0,29.0,38.0,0
6.0,,18.0,2,2295.0,36.0,49.0,29.0,0
20.0,,17.0,3,6993.0,151.0,106.0,57.0,0
16.0,0.0,,2,9533.0,181.0,94.0,,0
12.0,0.0,16.0,5,3453.0,55.0,52.0,,0
6.0,0.0,9.0,3,4990.0,,,25.0,0
7.0,1.0,9.0,3,,29.0,21.0,22.0,1
,0.0,,0,,61.0,0.0,,0
,0.0,39.0,0,0.0,,0.0,,0
6.0,,37.0,0,1853.0,,338.0,,0
6.0,0.0,38.0,0,3598.0,56.0,,,0
0.0,,38.0,0,,48.0,0.0,18.0,0
7.0,0.0,38.0,0,3175.0,72.0,11.0,13.0,0
,0.0,38.0,0,1760.0,29.0,,3.0,0
9.0,0.0,37.0,0,8515.0,111.0,123.0,28.0,0
3.0,0.0,38.0,0,,159.0,,29.0,0
3.0,,38.0,0,3915.0,73.0,0.0,,0
,0.0,38.0,0,5318.0,,,15.0,0
5.0,,,0,1638.0,,0.0,,0
21.0,0.0,38.0,1,,215.0,33.0,17.0,0
0.0,0.0,38.0,0,2495.0,17.0,462.0,7.0,0
,,37.0,0,,172.0,129.0,15.0,0
0.0,0.0,37.0,0,5900.0,76.0,,,0
0.0,0.0,37.0,0,275.0,4.0,0.0,1.0,0
0.0,0.0,38.0,0,110.0,,0.0,1.0,0
0.0,0.0,,0,,0.0,0.0,0.0,1
0.0,0.0,37.0,0,6908.0,117.0,363.0,28.0,0
3.0,0.0,37.0,0,10865.0,,0.0,32.0,0
4.0,,,0,,65.0,87.0,,0
19.0,0.0,,0,355.0,37.0,,,1
17.0,0.0,,6,9835.0,,0.0,27.0,0
9.0,1.0,36.0,0,5218.0,88.0,5.0,,1
0.0,0.0,,0,,12.0,0.0,4.0,0
5.0,0.0,35.0,0,2390.0,31.0,0.0,1.0,1
5.0,0.0,,0,1668.0,34.0,13.0,16.0,1
0.0,0.0,36.0,0,,0.0,0.0,0.0,1
0.0,0.0,,0,,15.0,0.0,3.0,0
0.0,0.0,33.0,0,6185.0,87.0,0.0,7.0,0
0.0,0.0,36.0,0,,0.0,0.0,,1
,0.0,36.0,0,0.0,0.0,0.0,0.0,0
21.0,0.0,31.0,1,,228.0,0.0,65.0,0
2.0,0.0,34.0,1,6365.0,106.0,250.0,18.0,0
0.0,0.0,36.0,0,3118.0,72.0,,13.0,0
0.0,0.0,35.0,0,1065.0,34.0,17.0,5.0,0
2.0,,36.0,0,2180.0,43.0,154.0,8.0,0
0.0,0.0,27.0,0,715.0,26.0,172.0,1.0,0
0.0,0.0,26.0,0,968.0,29.0,9.0,53.0,0
,0.0,27.0,0,100.0,15.0,0.0,3.0,0
0.0,0.0,26.0,0,0.0,0.0,,,0
6.0,0.0,,0,625.0,22.0,0.0,2.0,0
0.0,0.0,,0,2625.0,51.0,0.0,,0
,0.0,18.0,0,1095.0,16.0,7.0,6.0,0
,0.0,17.0,0,5793.0,131.0,64.0,27.0,0
8.0,0.0,15.0,0,8333.0,,52.0,25.0,0
4.0,0.0,16.0,1,2253.0,35.0,10.0,,0
0.0,0.0,9.0,0,3790.0,30.0,,23.0,0
0.0,1.0,,0,,,0.0,,1
,0.0,39.0,1,4485.0,77.0,37.0,21.0,0
0.0,0.0,40.0,0,433.0,11.0,,8.0,0
,0.0,38.0,1,2568.0,,,28.0,0
10.0,,39.0,1,,72.0,33.0,39.0,0
3.0,0.0,39.0,1,,64.0,34.0,37.0,0
11.0,0.0,39.0,2,,88.0,64.0,32.0,0
4.0,,39.0,1,2475.0,45.0,,22.0,0
,0.0,38.0,3,,127.0,176.0,47.0,0
7.0,,39.0,1,,175.0,32.0,48.0,0
7.0,0.0,39.0,2,4630.0,89.0,34.0,29.0,0
,0.0,39.0,1,6033.0,101.0,39.0,16.0,0
9.0,1.0,39.0,0,2353.0,60.0,40.0,21.0,0
25.0,0.0,39.0,4,15255.0,231.0,,,0
4.0,0.0,39.0,2,3210.0,33.0,515.0,,0
9.0,0.0,38.0,1,15600.0,,182.0,,0
3.0,0.0,38.0,2,,92.0,218.0,30.0,0
0.0,0.0,38.0,0,990.0,20.0,32.0,15.0,0
2.0,0.0,39.0,0,825.0,20.0,45.0,12.0,0
0.0,,38.0,0,115.0,6.0,32.0,4.0,1
,0.0,38.0,1,7623.0,133.0,416.0,,0
7.0,0.0,,2,11580.0,160.0,43.0,51.0,0
,0.0,38.0,2,6833.0,81.0,140.0,41.0,0
23.0,,,0,1070.0,,48.0,21.0,1
21.0,,37.0,9,10550.0,99.0,33.0,46.0,0
13.0,0.0,37.0,2,5933.0,,,28.0,0
1.0,0.0,35.0,1,2955.0,,32.0,18.0,0
,1.0,36.0,0,,47.0,41.0,20.0,1
9.0,0.0,37.0,0,2383.0,,66.0,35.0,1
,0.0,37.0,0,248.0,8.0,32.0,6.0,1
1.0,0.0,37.0,1,1783.0,31.0,,10.0,0
,0.0,,2,6900.0,103.0,46.0,,0
0.0,0.0,37.0,0,,13.0,41.0,8.0,1
0.0,0.0,37.0,2,453.0,10.0,36.0,6.0,0
25.0,0.0,32.0,4,,244.0,32.0,84.0,0
6.0,0.0,35.0,4,7080.0,122.0,303.0,37.0,0
,0.0,,1,3833.0,88.0,34.0,32.0,0
3.0,0.0,36.0,0,1780.0,50.0,70.0,24.0,0
6.0,,37.0,1,2895.0,59.0,207.0,27.0,0
4.0,,28.0,2,1430.0,,225.0,15.0,0
4.0,,27.0,1,,,,,0
11.0,,28.0,0,815.0,31.0,42.0,11.0,0
0.0,0.0,27.0,0,940.0,16.0,53.0,7.0,0
10.0,0.0,26.0,1,1340.0,,51.0,17.0,0
,,26.0,1,3340.0,67.0,40.0,,0
2.0,0.0,19.0,1,1810.0,,60.0,,0
16.0,,18.0,2,6508.0,147.0,,46.0,0
,,16.0,1,,177.0,105.0,,0
8.0,,17.0,4,2968.0,51.0,,23.0,0
2.0,0.0,10.0,2,4505.0,46.0,247.0,,0
,0.0,,2,1603.0,25.0,32.0,11.0,1
8.0,,37.0,0,4255.0,,0.0,13.0,0
,0.0,38.0,0,0.0,0.0,0.0,0.0,0
,0.0,36.0,0,,54.0,327.0,,0
10.0,0.0,37.0,0,,60.0,0.0,31.0,0
3.0,0.0,,0,2278.0,52.0,0.0,29.0,0
11.0,0.0,37.0,0,3660.0,76.0,0.0,24.0,0
4.0,0.0,37.0,0,,,253.0,,0
,0.0,36.0,1,,115.0,,39.0,0
7.0,0.0,37.0,0,,163.0,0.0,40.0,0
7.0,0.0,37.0,0,4400.0,77.0,0.0,21.0,0
6.0,0.0,37.0,0,5803.0,,,8.0,0
9.0,0.0,37.0,0,2123.0,48.0,0.0,13.0,0
25.0,0.0,37.0,2,15025.0,219.0,,28.0,0
4.0,0.0,37.0,0,2980.0,21.0,451.0,4.0,0
9.0,0.0,36.0,0,15370.0,176.0,118.0,,0
3.0,0.0,36.0,0,6385.0,,,22.0,0
0.0,0.0,36.0,0,760.0,,0.0,7.0,0
2.0,0.0,,0,595.0,8.0,0.0,4.0,0
0.0,1.0,36.0,0,,,0.0,0.0,1
3.0,0.0,36.0,0,,121.0,352.0,39.0,0
,0.0,36.0,0,11350.0,148.0,0.0,43.0,0
,0.0,36.0,0,6603.0,69.0,,33.0,0
23.0,0.0,32.0,0,840.0,,0.0,13.0,1
21.0,0.0,35.0,7,10320.0,87.0,,38.0,0
,1.0,35.0,0,5703.0,92.0,,20.0,1
1.0,0.0,33.0,0,,16.0,,10.0,0
9.0,1.0,,0,2875.0,35.0,0.0,12.0,1
9.0,,35.0,0,2153.0,38.0,2.0,27.0,1
0.0,0.0,35.0,0,0.0,0.0,0.0,,1
1.0,0.0,35.0,0,1553.0,19.0,0.0,2.0,0
3.0,0.0,32.0,0,,91.0,,18.0,0
0.0,0.0,35.0,0,513.0,,,3.0,1
0.0,,35.0,0,0.0,,0.0,,0
25.0,0.0,30.0,2,15960.0,232.0,0.0,76.0,0
6.0,0.0,,2,,110.0,239.0,,0
2.0,0.0,35.0,0,3603.0,76.0,0.0,24.0,0
3.0,,34.0,0,1550.0,38.0,,16.0,0
6.0,0.0,35.0,0,,47.0,,,0
4.0,0.0,26.0,0,1200.0,30.0,161.0,,0
4.0,0.0,,0,,33.0,0.0,,0
11.0,0.0,26.0,0,585.0,,0.0,,0
,,,0,710.0,4.0,0.0,1.0,0
10.0,0.0,24.0,0,1110.0,26.0,,9.0,0
,0.0,24.0,0,3110.0,,0.0,,0
2.0,,,0,1580.0,20.0,0.0,10.0,0
16.0,0.0,16.0,0,6278.0,,53.0,38.0,0
12.0,0.0,14.0,0,8818.0,165.0,41.0,36.0,0
,0.0,,2,2738.0,39.0,0.0,,0
2.0,0.0,8.0,0,4275.0,,,6.0,0
3.0,1.0,,0,1373.0,13.0,0.0,3.0,1
10.0,0.0,38.0,0,4560.0,72.0,,20.0,0
2.0,0.0,39.0,0,508.0,,16.0,,0
12.0,0.0,37.0,0,2643.0,61.0,368.0,27.0,0
12.0,0.0,38.0,0,4388.0,,10.0,38.0,0
,0.0,38.0,0,2583.0,59.0,11.0,36.0,0
13.0,,38.0,1,3965.0,83.0,41.0,31.0,0
6.0,,38.0,0,2550.0,,294.0,21.0,0
15.0,0.0,37.0,2,9305.0,122.0,153.0,46.0,0
9.0,,38.0,0,13963.0,170.0,9.0,47.0,0
9.0,0.0,38.0,1,,84.0,,28.0,0
8.0,0.0,38.0,0,6108.0,96.0,16.0,15.0,0
11.0,,38.0,0,2428.0,,17.0,20.0,0
27.0,0.0,,3,15330.0,226.0,63.0,,0
6.0,0.0,38.0,1,3285.0,28.0,492.0,11.0,0
11.0,,37.0,0,,,159.0,33.0,0
5.0,0.0,37.0,1,6690.0,87.0,195.0,29.0,0
2.0,0.0,37.0,0,1065.0,15.0,9.0,,0
,0.0,38.0,0,900.0,15.0,,11.0,0
2.0,,37.0,0,190.0,1.0,9.0,3.0,1
,0.0,37.0,0,,128.0,393.0,46.0,0
9.0,0.0,37.0,1,11655.0,155.0,20.0,50.0,0
10.0,0.0,37.0,1,,76.0,117.0,,0
25.0,1.0,,0,,48.0,,20.0,1
23.0,,36.0,8,10625.0,94.0,,45.0,0
15.0,0.0,36.0,1,6008.0,,35.0,,1
,0.0,34.0,0,3030.0,23.0,9.0,17.0,0
11.0,,35.0,0,3180.0,42.0,18.0,19.0,1
,,36.0,0,,,43.0,,1
2.0,0.0,,0,,3.0,9.0,5.0,1
3.0,0.0,36.0,0,1858.0,26.0,9.0,9.0,0
5.0,0.0,33.0,1,6975.0,98.0,23.0,,0
2.0,0.0,36.0,0,818.0,8.0,18.0,,1
2.0,0.0,36.0,1,528.0,,,,0
27.0,0.0,31.0,3,16265.0,239.0,9.0,,0
8.0,0.0,34.0,3,7155.0,117.0,280.0,,0
,0.0,36.0,0,3908.0,83.0,11.0,31.0,0
5.0,0.0,35.0,0,1855.0,45.0,47.0,23.0,0
,,36.0,0,2970.0,54.0,184.0,26.0,0
6.0,1.0,27.0,1,,37.0,,14.0,1
6.0,,26.0,0,1758.0,,39.0,71.0,0
,0.0,27.0,0,,26.0,19.0,10.0,0
2.0,,,0,1015.0,11.0,30.0,6.0,0
,0.0,25.0,0,1415.0,33.0,28.0,16.0,0
,0.0,25.0,0,3415.0,62.0,,26.0,0
4.0,0.0,,0,1885.0,,,17.0,0
18.0,0.0,,1,6582.0,142.0,94.0,,0
14.0,0.0,15.0,0,9122.0,172.0,82.0,43.0,0
10.0,0.0,16.0,3,3042.0,46.0,40.0,,0
4.0,0.0,9.0,1,,41.0,224.0,13.0,0
,0.0,,1,1677.0,,9.0,10.0,1
6.0,0.0,,0,4180.0,70.0,0.0,,0
0.0,0.0,39.0,0,128.0,4.0,0.0,1.0,0
8.0,,37.0,0,,59.0,350.0,21.0,0
8.0,0.0,38.0,0,4008.0,65.0,0.0,32.0,0
1.0,0.0,38.0,0,2203.0,57.0,0.0,,0
9.0,,38.0,1,3585.0,81.0,23.0,,0
2.0,,38.0,0,2170.0,38.0,276.0,15.0,0
11.0,,37.0,2,8925.0,120.0,135.0,40.0,0
5.0,0.0,38.0,0,13583.0,,0.0,41.0,0
5.0,0.0,38.0,1,4325.0,82.0,0.0,,0
,0.0,,0,5728.0,94.0,0.0,9.0,0
7.0,,,0,2048.0,53.0,0.0,14.0,0
23.0,0.0,38.0,3,14950.0,,45.0,29.0,0
,0.0,38.0,1,,26.0,474.0,5.0,0
7.0,0.0,37.0,0,15295.0,181.0,141.0,27.0,0
1.0,0.0,37.0,1,6310.0,85.0,,23.0,0
0.0,0.0,,0,685.0,,0.0,8.0,0
0.0,0.0,,0,,13.0,4.0,,0
,0.0,,0,,,0.0,0.0,1
1.0,0.0,37.0,0,7318.0,126.0,,40.0,0
,0.0,37.0,1,11275.0,153.0,2.0,44.0,0
,0.0,,1,6528.0,,99.0,34.0,0
21.0,,33.0,0,765.0,46.0,7.0,14.0,1
19.0,0.0,,8,10245.0,92.0,0.0,39.0,0
11.0,0.0,36.0,1,5628.0,97.0,,21.0,1
0.0,0.0,34.0,0,2650.0,21.0,0.0,,0
7.0,1.0,35.0,0,2800.0,40.0,0.0,,1
,0.0,36.0,0,2078.0,43.0,25.0,28.0,1
0.0,0.0,36.0,0,0.0,0.0,,0.0,1
0.0,,36.0,0,,24.0,0.0,3.0,0
1.0,,33.0,1,6595.0,96.0,5.0,,0
0.0,0.0,36.0,0,438.0,,0.0,1.0,1
,0.0,36.0,1,0.0,,0.0,0.0,0
23.0,0.0,31.0,3,15885.0,237.0,0.0,77.0,0
4.0,0.0,,3,6775.0,115.0,,,0
0.0,,,0,,,0.0,,0
1.0,0.0,35.0,0,,43.0,29.0,17.0,0
4.0,0.0,36.0,0,2590.0,52.0,166.0,20.0,0
2.0,0.0,27.0,1,1125.0,,,,0
,0.0,26.0,0,1378.0,38.0,,65.0,0
9.0,,,0,,24.0,,4.0,0
0.0,0.0,26.0,0,635.0,9.0,12.0,1.0,0
8.0,0.0,25.0,0,,,10.0,10.0,0
0.0,0.0,25.0,0,3035.0,60.0,,20.0,0
0.0,,18.0,0,,25.0,19.0,11.0,0
,0.0,17.0,1,6202.0,140.0,76.0,39.0,0
10.0,,,0,8742.0,170.0,64.0,37.0,0
6.0,,16.0,3,,,,16.0,0
0.0,0.0,9.0,1,4200.0,39.0,206.0,7.0,0
1.0,0.0,,1,1297.0,18.0,,4.0,1
6.0,0.0,,0,4370.0,65.0,0.0,16.0,0
0.0,0.0,34.0,0,318.0,,0.0,3.0,0
8.0,0.0,32.0,0,,,351.0,,0
8.0,0.0,33.0,0,4198.0,60.0,0.0,,0
1.0,0.0,33.0,0,,52.0,,,0
,0.0,33.0,0,3775.0,76.0,24.0,,0
2.0,,33.0,0,,33.0,277.0,17.0,0
11.0,0.0,32.0,1,9115.0,,,42.0,0
,0.0,33.0,0,,163.0,0.0,43.0,0
,0.0,33.0,0,,,0.0,24.0,0
,,33.0,0,5918.0,89.0,0.0,11.0,0
7.0,1.0,33.0,0,2238.0,48.0,0.0,16.0,0
23.0,,33.0,2,15140.0,219.0,46.0,31.0,0
,0.0,33.0,0,3095.0,21.0,,7.0,0
7.0,0.0,,0,15485.0,176.0,142.0,,0
1.0,0.0,32.0,0,6500.0,80.0,178.0,25.0,0
0.0,0.0,32.0,0,875.0,8.0,0.0,10.0,0
0.0,0.0,33.0,0,710.0,8.0,5.0,7.0,0
,0.0,32.0,0,0.0,0.0,0.0,0.0,1
1.0,,32.0,0,7508.0,121.0,376.0,42.0,0
5.0,0.0,32.0,0,,148.0,3.0,46.0,0
6.0,0.0,,0,6718.0,69.0,100.0,36.0,0
21.0,1.0,28.0,0,955.0,41.0,8.0,,1
19.0,0.0,31.0,7,10435.0,,0.0,41.0,0
,0.0,31.0,0,,92.0,18.0,23.0,1
0.0,,29.0,0,,16.0,0.0,13.0,0
7.0,1.0,30.0,0,2990.0,,1.0,15.0,1
7.0,1.0,,0,2268.0,38.0,26.0,30.0,1
0.0,1.0,31.0,0,0.0,0.0,,0.0,1
0.0,0.0,31.0,0,1668.0,,,5.0,0
1.0,,28.0,0,6785.0,,6.0,21.0,0
0.0,,31.0,0,628.0,1.0,,3.0,1
0.0,,31.0,0,,,,1.0,0
23.0,,,2,16075.0,232.0,0.0,79.0,0
4.0,,29.0,2,6965.0,110.0,263.0,,0
0.0,0.0,31.0,0,3718.0,76.0,0.0,27.0,0
1.0,0.0,30.0,0,1665.0,38.0,30.0,,0
4.0,,31.0,0,2780.0,47.0,167.0,22.0,0
2.0,0.0,22.0,0,,30.0,185.0,10.0,0
2.0,,21.0,0,1568.0,33.0,22.0,,0
9.0,0.0,22.0,0,700.0,19.0,2.0,6.0,0
0.0,0.0,21.0,0,825.0,4.0,13.0,,0
8.0,0.0,,0,1225.0,26.0,11.0,12.0,0
0.0,0.0,,0,3225.0,55.0,0.0,22.0,0
0.0,0.0,,0,1695.0,20.0,20.0,13.0,0
14.0,,12.0,0,6392.0,135.0,77.0,41.0,0
,0.0,,0,8932.0,165.0,65.0,39.0,0
6.0,0.0,11.0,2,,39.0,23.0,18.0,0
,,4.0,0,4390.0,,207.0,9.0,0
,0.0,4.0,0,1487.0,13.0,0.0,6.0,1
10.0,,43.0,1,4370.0,77.0,13.0,,0
,0.0,,0,318.0,11.0,15.0,,0
12.0,,,1,2453.0,66.0,367.0,25.0,0
12.0,0.0,43.0,1,4198.0,72.0,9.0,36.0,0
5.0,0.0,43.0,1,2393.0,64.0,10.0,34.0,0
13.0,0.0,43.0,2,,88.0,40.0,29.0,0
6.0,0.0,,1,2360.0,,293.0,,0
15.0,0.0,42.0,3,9115.0,127.0,152.0,44.0,0
9.0,0.0,43.0,1,13773.0,175.0,8.0,45.0,0
9.0,0.0,43.0,2,,89.0,10.0,26.0,0
,0.0,43.0,1,5918.0,101.0,15.0,13.0,0
,1.0,43.0,0,2238.0,,16.0,18.0,0
27.0,0.0,43.0,4,,,62.0,33.0,0
6.0,0.0,43.0,2,3095.0,33.0,491.0,9.0,0
,0.0,42.0,1,15485.0,188.0,158.0,31.0,0
,0.0,,2,6500.0,92.0,194.0,27.0,0
2.0,0.0,42.0,0,875.0,20.0,8.0,,0
4.0,,43.0,0,,20.0,21.0,9.0,0
0.0,,42.0,0,0.0,,8.0,0.0,1
5.0,0.0,42.0,1,7508.0,133.0,392.0,44.0,0
,0.0,,2,11465.0,160.0,,48.0,0
,,42.0,2,,81.0,116.0,38.0,0
25.0,1.0,38.0,0,955.0,53.0,,18.0,1
,0.0,41.0,9,10435.0,99.0,9.0,,0
15.0,0.0,,2,5818.0,104.0,,,0
3.0,,39.0,1,2840.0,28.0,8.0,15.0,0
11.0,0.0,40.0,0,2990.0,47.0,17.0,17.0,1
11.0,1.0,41.0,0,2268.0,50.0,42.0,32.0,1
2.0,0.0,41.0,0,133.0,8.0,8.0,3.0,1
3.0,0.0,41.0,1,1668.0,31.0,8.0,,0
5.0,0.0,38.0,2,6785.0,103.0,22.0,23.0,0
,0.0,41.0,0,,13.0,17.0,5.0,1
,,,2,338.0,10.0,12.0,,0
27.0,0.0,36.0,4,,244.0,8.0,,0
8.0,0.0,39.0,4,,122.0,279.0,34.0,0
,0.0,41.0,1,3718.0,88.0,,29.0,0
5.0,0.0,40.0,0,1665.0,50.0,46.0,21.0,0
8.0,,41.0,1,2780.0,59.0,183.0,24.0,0
6.0,1.0,,2,1315.0,42.0,201.0,12.0,1
,0.0,,1,,,38.0,,0
13.0,0.0,32.0,0,700.0,31.0,18.0,8.0,0
2.0,0.0,,0,825.0,16.0,,4.0,0
12.0,0.0,30.0,1,1225.0,38.0,27.0,14.0,0
4.0,0.0,30.0,1,3225.0,67.0,,24.0,0
,0.0,23.0,1,1695.0,32.0,36.0,15.0,0
18.0,0.0,22.0,2,,147.0,93.0,43.0,0
14.0,,20.0,1,8932.0,177.0,81.0,41.0,0
,0.0,21.0,4,,51.0,39.0,20.0,0
,0.0,14.0,2,4390.0,46.0,223.0,11.0,0
5.0,1.0,,2,1487.0,25.0,8.0,8.0,1
,0.0,,1,,82.0,30.0,17.0,0
6.0,,40.0,0,1028.0,,15.0,4.0,0
16.0,0.0,38.0,1,3163.0,71.0,,24.0,0
16.0,0.0,39.0,1,4908.0,77.0,9.0,35.0,0
,0.0,,1,3103.0,69.0,10.0,33.0,0
17.0,,39.0,2,4485.0,93.0,40.0,,0
10.0,0.0,39.0,1,3070.0,50.0,293.0,18.0,0
,0.0,38.0,3,,132.0,152.0,43.0,0
13.0,0.0,39.0,1,,,,,0
13.0,0.0,39.0,2,5225.0,94.0,10.0,25.0,0
12.0,0.0,,1,6628.0,106.0,15.0,12.0,0
15.0,0.0,39.0,0,2948.0,65.0,,17.0,0
31.0,1.0,39.0,4,,236.0,62.0,32.0,0
,0.0,39.0,2,3805.0,38.0,491.0,8.0,0
15.0,0.0,38.0,1,,,158.0,30.0,0
9.0,0.0,38.0,2,7210.0,97.0,,,0
6.0,0.0,38.0,0,1585.0,25.0,,11.0,0
,0.0,39.0,0,1420.0,25.0,,8.0,0
6.0,0.0,38.0,0,710.0,,8.0,2.0,1
9.0,0.0,38.0,1,8218.0,138.0,,,0
13.0,0.0,,2,,,,47.0,0
14.0,0.0,38.0,2,7428.0,86.0,116.0,,0
29.0,1.0,34.0,0,1665.0,58.0,24.0,,1
27.0,0.0,37.0,9,11145.0,104.0,,42.0,0
19.0,0.0,,2,6528.0,109.0,34.0,,0
7.0,,35.0,1,3550.0,33.0,8.0,14.0,0
15.0,1.0,36.0,0,3700.0,52.0,17.0,16.0,1
15.0,1.0,37.0,0,2978.0,,,31.0,1
6.0,,37.0,0,843.0,13.0,8.0,2.0,1
7.0,0.0,37.0,1,,36.0,8.0,6.0,0
,0.0,34.0,2,7495.0,108.0,22.0,22.0,0
6.0,1.0,37.0,0,1338.0,,17.0,4.0,1
6.0,0.0,37.0,2,1048.0,,,,0
31.0,,,4,,249.0,,,0
12.0,1.0,35.0,4,,127.0,279.0,33.0,0
8.0,0.0,,1,4428.0,93.0,,28.0,0
9.0,0.0,,0,2375.0,55.0,,20.0,0
12.0,,,1,3490.0,64.0,183.0,,0
10.0,0.0,28.0,2,2025.0,,201.0,11.0,0
10.0,0.0,27.0,1,2278.0,,38.0,68.0,0
,0.0,28.0,0,1410.0,36.0,18.0,7.0,0
6.0,,27.0,0,,21.0,29.0,3.0,0
16.0,0.0,26.0,1,1935.0,,27.0,,0
8.0,0.0,26.0,1,3935.0,,16.0,23.0,0
8.0,0.0,19.0,1,,37.0,36.0,14.0,0
22.0,,18.0,2,7102.0,152.0,,42.0,0
18.0,0.0,16.0,1,9642.0,182.0,81.0,40.0,0
14.0,0.0,17.0,4,3562.0,56.0,,19.0,0
8.0,0.0,10.0,2,5100.0,51.0,223.0,10.0,0
9.0,0.0,10.0,2,,,8.0,7.0,1
,0.0,37.0,0,,60.0,,17.0,0
,0.0,38.0,0,,,0.0,0.0,0
4.0,,36.0,0,1743.0,49.0,334.0,,0
,0.0,37.0,0,3488.0,55.0,0.0,35.0,0
0.0,0.0,37.0,0,,47.0,0.0,33.0,0
5.0,0.0,37.0,0,3065.0,71.0,7.0,,0
,0.0,37.0,0,1650.0,28.0,,18.0,0
7.0,0.0,36.0,1,,110.0,119.0,43.0,0
1.0,0.0,37.0,0,13063.0,158.0,0.0,,0
1.0,0.0,37.0,0,3805.0,72.0,0.0,25.0,0
0.0,0.0,37.0,0,5208.0,84.0,0.0,12.0,0
3.0,0.0,37.0,0,1528.0,43.0,,,0
19.0,0.0,37.0,2,,214.0,,32.0,0
,,,0,2385.0,16.0,458.0,8.0,0
3.0,0.0,36.0,0,14775.0,,125.0,,0
0.0,0.0,36.0,0,,75.0,161.0,,0
0.0,0.0,36.0,0,165.0,3.0,0.0,11.0,0
0.0,0.0,37.0,0,0.0,,0.0,0.0,0
0.0,0.0,36.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,36.0,0,6798.0,116.0,,43.0,0
1.0,0.0,,0,,143.0,0.0,47.0,0
2.0,,36.0,0,6008.0,64.0,83.0,,0
17.0,0.0,32.0,0,245.0,36.0,,17.0,1
15.0,0.0,35.0,7,9725.0,82.0,0.0,42.0,0
7.0,0.0,35.0,0,5108.0,,1.0,,1
,0.0,33.0,0,,11.0,0.0,14.0,0
3.0,1.0,34.0,0,,,0.0,16.0,1
3.0,0.0,35.0,0,,,9.0,31.0,1
0.0,0.0,35.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,35.0,0,,,,6.0,0
,0.0,32.0,0,6075.0,,0.0,,0
,0.0,35.0,0,,0.0,,0.0,1
0.0,0.0,35.0,0,0.0,0.0,0.0,,0
19.0,,30.0,2,,227.0,0.0,80.0,0
0.0,0.0,,2,6255.0,105.0,,33.0,0
0.0,0.0,35.0,0,3008.0,71.0,0.0,28.0,0
0.0,0.0,34.0,0,955.0,33.0,13.0,20.0,0
0.0,,35.0,0,2070.0,,150.0,23.0,0
0.0,0.0,26.0,0,605.0,25.0,168.0,11.0,0
0.0,0.0,25.0,0,858.0,28.0,5.0,,0
,0.0,26.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,25.0,0,0.0,0.0,0.0,0.0,0
4.0,0.0,24.0,0,515.0,,0.0,13.0,0
0.0,,,0,2515.0,50.0,,23.0,0
0.0,0.0,17.0,0,985.0,15.0,3.0,,0
10.0,0.0,16.0,0,5682.0,130.0,,42.0,0
6.0,0.0,14.0,0,8222.0,160.0,48.0,40.0,0
,0.0,15.0,2,2142.0,34.0,6.0,19.0,0
,0.0,8.0,0,3680.0,29.0,190.0,10.0,0
0.0,0.0,8.0,0,777.0,,,7.0,1
,0.0,,0,4370.0,,5.0,17.0,0
0.0,0.0,39.0,0,318.0,5.0,7.0,4.0,0
10.0,,,0,2453.0,,359.0,24.0,0
10.0,0.0,38.0,0,4198.0,66.0,1.0,35.0,0
3.0,,,0,2393.0,58.0,,33.0,0
,0.0,38.0,1,3775.0,,,28.0,0
4.0,0.0,38.0,0,,39.0,,18.0,0
13.0,0.0,37.0,2,9115.0,121.0,144.0,,0
,0.0,38.0,0,13773.0,169.0,0.0,44.0,0
7.0,,38.0,1,4515.0,83.0,2.0,25.0,0
,0.0,38.0,0,5918.0,95.0,7.0,12.0,0
9.0,1.0,,0,2238.0,54.0,,,0
25.0,0.0,38.0,3,15140.0,225.0,54.0,32.0,0
,0.0,,1,,27.0,483.0,8.0,0
9.0,0.0,37.0,0,15485.0,,150.0,30.0,0
,0.0,37.0,1,6500.0,86.0,186.0,26.0,0
0.0,0.0,37.0,0,875.0,,0.0,11.0,0
2.0,0.0,38.0,0,710.0,14.0,13.0,8.0,0
0.0,0.0,37.0,0,0.0,0.0,0.0,0.0,1
3.0,0.0,37.0,0,7508.0,,384.0,43.0,0
7.0,,37.0,1,11465.0,154.0,11.0,47.0,0
8.0,0.0,37.0,1,6718.0,75.0,108.0,37.0,0
23.0,0.0,33.0,0,955.0,47.0,,17.0,1
